id,"category","name","url","image","author","updatetime","status","news","description","datetime","path"
13,"都市言情","特种兵在都市","http://www.xxbiquge.com/3_3306/","http://www.xxbiquge.com/cover/3/3306/3306s.jpg","夜十三","2017-02-18 15:54:50","连载中","2242章 大礼","杨洛曾经是一名让所有国家军人闻名丧胆的兵王，他是地下世界大名鼎鼎的杀手法官，他是世界医学界里天才医生，他掌握着神秘组织高买。他性格嚣张狂妄，为达目的不折手段。他痞气十足，各种美女为他痴狂。在这繁华的都市，杨洛上演了一场激情四射的热血人生。","2017-03-31 11:47:27","/Users/gzw/Documents/workspace/python/3_3306"
14,"玄幻奇幻","娱乐玩童","http://www.xxbiquge.com/70_70897/","http://www.xxbiquge.com/cover/70/70174/70174s.jpg","金色火烧云","2017-04-01 12:05:21","连载中","第一百零九章 玩嗨了","李昊的穿越平行世界之旅，从三岁开始。李昊一觉醒来，发现自己穿越到平行世界成为三岁多的小孩子肖遥，而在穿越的同一天，母亲去世，父亲受伤入院，好在还有一个貌似很厉害的爷爷，可一家三代只有三个男人，这日子怎么过？","2017-04-01 05:55:27","/Users/gzw/Documents/workspace/python/70_70897"
15,"玄幻奇幻","我是奥运大明星","http://www.xxbiquge.com/70_70897/","http://www.xxbiquge.com/cover/70/70897/70897s.jpg","干煸鱿鱼须","2017-04-01 12:03:49","连载中","第二百四十五章 隔壁老王","萧然穿越到平行世界，得到了“全能奥运明星”系统。    第一个激活的竞技，居然是电子竞技的LOL！    幸好，电子竞技也纳入了奥运会。    五杀、超神、虐杀棒子。    萧然是打野选手……什么？怎么他这场打中单？？！！    ban了打野和中单萧然carry的英雄……我靠，他怎么又去打上单了！！！    “开盘了开盘了，大家猜一下萧神下局打什么位","2017-04-01 06:00:04","/Users/gzw/Documents/workspace/python/70_70897"
18,"玄幻奇幻","阿拉德之雄鹰","http://www.xxbiquge.com/70_70174/","http://www.xxbiquge.com/cover/69/69670/69670s.jpg","龙腾小凡","2017-03-31 20:12:07","连载中","第两百六十四章 沃尔特","克洛斯终于道出了其了解到的一段故事——雄鹰公会的历史，传闻中血魔马费奥所在的公会，一座在阿拉德历史上留下了浓厚一笔的公会    新人，哪里写的不好欢迎读者大大们提出意见","2017-04-01 06:13:28","/Users/gzw/Documents/workspace/python/70_70174"
19,"玄幻奇幻","十天武神","http://www.xxbiquge.com/67_67324/","http://www.xxbiquge.com/cover/71/71615/71615s.jpg","奇四","2017-03-31 20:15:14","连载中","第491章 进入深渊山脉内围","族人漠视，未婚妻退婚。    少年一朝武魂觉醒，从此开始征战天下，败天才，遨游于九天之上，开启神秘之旅。","2017-04-01 06:15:18","/Users/gzw/Documents/workspace/python/67_67324"
20,"玄幻奇幻","开挂闯异界","http://www.xxbiquge.com/67_67324/","http://www.xxbiquge.com/cover/67/67324/67324s.jpg","王不偷","2017-04-01 09:03:14","连载中","第823章 打劫","异界无敌外挂1.0版功能简介：    基础功能：离线挂机修炼、完美战斗、探查。进阶功能：神器商店、隐身、倍击、加速……高端功能：瞬移、能量护罩、分身……超级功能：独立空间、无限分身、时间暂停、无限蓝、属性修改、强行奴役……变态功能：无限复活、时光倒流、无敌、秒杀、复制……超级变态功能：秒天秒地秒空气！夺舍宇宙！    更多强大功能，敬请期待外挂2.0版。","2017-04-01 06:35:23","/Users/gzw/Documents/workspace/python/67_67324"
660,"玄幻奇幻","有扇通往地下城的门","http://www.xxbiquge.com/70_70909/","http://www.xxbiquge.com/cover/70/70909/70909s.jpg","海拉斯特黑袍","2017-04-01 05:46:35","连载中","第四百七十二章 世界的本质——比烂","中间商陆离是一名负责满足有钱客户特殊需要的人，有一天他收购了一扇奇怪的青铜大门，这扇大门可以带他到一个充满神话色彩的异世界，从此之后其妙的人生之旅开始了……","2017-04-01 07:26:13","/Users/gzw/Documents/workspace/python/70_70909"
661,"玄幻奇幻","超能名帅","http://www.xxbiquge.com/68_68429/","http://www.xxbiquge.com/cover/68/68429/68429s.jpg","陈爱庭","2017-03-31 21:10:56","连载中","第516章 惊天风暴","一个来自中国的菜鸟教练，孤身闯荡欧洲足坛，立志成为世界顶尖名帅。","2017-04-01 07:31:23","/Users/gzw/Documents/workspace/python/68_68429"
662,"玄幻奇幻","通天武尊","http://www.xxbiquge.com/54_54637/","http://www.xxbiquge.com/cover/54/54637/54637s.jpg","夜云端","2017-04-01 14:38:03","连载中","第1988章 雷霆核心造反？","一代至尊炼丹天才杨辰，因为不能修炼武道，遭到自己最亲近的女人所背叛，重生于大荒。    前世不能修炼武道，这一世，他誓要踏上武道巅峰。    最强最精纯的丹药，培养天才？这个世上没谁比杨辰更了解如何培养天才。","2017-04-01 07:33:46","/Users/gzw/Documents/workspace/python/54_54637"
663,"玄幻奇幻","全职王","http://www.xxbiquge.com/71_71284/","http://www.xxbiquge.com/cover/71/71284/71284s.jpg","六丈天涯","2017-03-31 21:40:11","连载中","第472章 复燃之心（大结局）","我身怀各种绝技，我隐藏各种绝活，我可以深藏不漏，我也能一鸣惊人……","2017-04-01 07:43:09","/Users/gzw/Documents/workspace/python/71_71284"
